fileName,role,source,faceSet,composition,declaredDuration,duration,durationDelta,width,height,fps,codec,pixelFormat,bytes
[无水印换牌]archive01__animals牌面__61.833s.mp4,face-swap,archive01,animals,,61.833,61.833,0,1080,1920,30,h264,yuv420p,71163356
[无水印换牌]archive01__archive04_mixed牌面__61.833s.mp4,face-swap,archive01,archive04_mixed,,61.833,61.833,0,1080,1920,30,h264,yuv420p,71180756
[无水印换牌]archive01__big_flower牌面__61.833s.mp4,face-swap,archive01,big_flower,,61.833,61.833,0,1080,1920,30,h264,yuv420p,71193902
[无水印换牌]archive01__chain_clear牌面__61.833s.mp4,face-swap,archive01,chain_clear,,61.833,61.833,0,1080,1920,30,h264,yuv420p,71177598
[无水印换牌]archive01__fb_competitor牌面__61.833s.mp4,face-swap,archive01,fb_competitor,,61.833,61.833,0,1080,1920,30,h264,yuv420p,71131941
[无水印换牌]archive01__latest_competitor牌面__61.833s.mp4,face-swap,archive01,latest_competitor,,61.833,61.833,0,1080,1920,30,h264,yuv420p,71186234
[无水印换牌]archive01__sailing牌面__61.833s.mp4,face-swap,archive01,sailing,,61.833,61.833,0,1080,1920,30,h264,yuv420p,71134290
[无水印换牌]archive01__seaside牌面__61.833s.mp4,face-swap,archive01,seaside,,61.833,61.833,0,1080,1920,30,h264,yuv420p,71115250
[无水印换牌]archive01__tpt760牌面__61.833s.mp4,face-swap,archive01,tpt760,,61.833,61.833,0,1080,1920,30,h264,yuv420p,71058747
[无水印换牌]archive01__tpt811牌面__61.833s.mp4,face-swap,archive01,tpt811,,61.833,61.833,0,1080,1920,30,h264,yuv420p,71169294
[无水印换牌]archive01__tpt971牌面__61.833s.mp4,face-swap,archive01,tpt971,,61.833,61.833,0,1080,1920,30,h264,yuv420p,71115334
[无水印换牌]archive01__travelmemo牌面__61.833s.mp4,face-swap,archive01,travelmemo,,61.833,61.833,0,1080,1920,30,h264,yuv420p,71107463
[无水印换牌]archive02__animals牌面__62.500s.mp4,face-swap,archive02,animals,,62.5,62.5,0,1080,1920,30,h264,yuv420p,75660094
[无水印换牌]archive02__archive04_mixed牌面__62.500s.mp4,face-swap,archive02,archive04_mixed,,62.5,62.5,0,1080,1920,30,h264,yuv420p,74638257
[无水印换牌]archive02__big_flower牌面__62.500s.mp4,face-swap,archive02,big_flower,,62.5,62.5,0,1080,1920,30,h264,yuv420p,74467667
[无水印换牌]archive02__chain_clear牌面__62.500s.mp4,face-swap,archive02,chain_clear,,62.5,62.5,0,1080,1920,30,h264,yuv420p,75195452
[无水印换牌]archive02__fb_competitor牌面__62.500s.mp4,face-swap,archive02,fb_competitor,,62.5,62.5,0,1080,1920,30,h264,yuv420p,75102918
[无水印换牌]archive02__latest_competitor牌面__62.500s.mp4,face-swap,archive02,latest_competitor,,62.5,62.5,0,1080,1920,30,h264,yuv420p,74739762
[无水印换牌]archive02__sailing牌面__62.500s.mp4,face-swap,archive02,sailing,,62.5,62.5,0,1080,1920,30,h264,yuv420p,75343519
[无水印换牌]archive02__seaside牌面__62.500s.mp4,face-swap,archive02,seaside,,62.5,62.5,0,1080,1920,30,h264,yuv420p,76060837
[无水印换牌]archive02__tpt760牌面__62.500s.mp4,face-swap,archive02,tpt760,,62.5,62.5,0,1080,1920,30,h264,yuv420p,75602706
[无水印换牌]archive02__tpt811牌面__62.500s.mp4,face-swap,archive02,tpt811,,62.5,62.5,0,1080,1920,30,h264,yuv420p,75943358
[无水印换牌]archive02__tpt971牌面__62.500s.mp4,face-swap,archive02,tpt971,,62.5,62.5,0,1080,1920,30,h264,yuv420p,76012996
[无水印换牌]archive02__travelmemo牌面__62.500s.mp4,face-swap,archive02,travelmemo,,62.5,62.5,0,1080,1920,30,h264,yuv420p,75953127
